,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0,-0.7579,Sun Nov 05 20:10:10 +0000 2017,0.698,0.302,0.0,1,@CNN
1,-0.5106,Sun Nov 05 20:03:04 +0000 2017,0.628,0.26,0.112,2,@CNN
2,0.0,Sun Nov 05 20:02:45 +0000 2017,1.0,0.0,0.0,3,@CNN
3,0.0,Sun Nov 05 19:58:37 +0000 2017,1.0,0.0,0.0,4,@CNN
4,0.0,Sun Nov 05 19:51:13 +0000 2017,1.0,0.0,0.0,5,@CNN
5,0.0,Sun Nov 05 19:50:56 +0000 2017,1.0,0.0,0.0,6,@CNN
6,-0.5574,Sun Nov 05 19:43:18 +0000 2017,0.833,0.167,0.0,7,@CNN
7,0.6124,Sun Nov 05 19:43:12 +0000 2017,0.625,0.0,0.375,8,@CNN
8,-0.6486,Sun Nov 05 19:39:11 +0000 2017,0.751,0.249,0.0,9,@CNN
9,0.0,Sun Nov 05 19:38:18 +0000 2017,1.0,0.0,0.0,10,@CNN
10,0.0,Sun Nov 05 19:35:39 +0000 2017,1.0,0.0,0.0,11,@CNN
11,-0.4767,Sun Nov 05 19:23:58 +0000 2017,0.744,0.256,0.0,12,@CNN
12,0.8225,Sun Nov 05 19:12:21 +0000 2017,0.648,0.0,0.352,13,@CNN
13,-0.5574,Sun Nov 05 19:10:52 +0000 2017,0.816,0.184,0.0,14,@CNN
14,-0.8402,Sun Nov 05 18:37:23 +0000 2017,0.667,0.333,0.0,15,@CNN
15,-0.0834,Sun Nov 05 17:34:08 +0000 2017,0.652,0.184,0.164,16,@CNN
16,0.25,Sun Nov 05 17:18:48 +0000 2017,0.9,0.0,0.1,17,@CNN
17,0.0,Sun Nov 05 17:12:51 +0000 2017,1.0,0.0,0.0,18,@CNN
18,-0.507,Sun Nov 05 17:07:23 +0000 2017,0.77,0.23,0.0,19,@CNN
19,0.0,Sun Nov 05 17:02:28 +0000 2017,1.0,0.0,0.0,20,@CNN
20,0.6115,Sun Nov 05 16:53:31 +0000 2017,0.818,0.0,0.182,21,@CNN
21,0.0,Sun Nov 05 16:50:57 +0000 2017,1.0,0.0,0.0,22,@CNN
22,0.0,Sun Nov 05 16:30:56 +0000 2017,1.0,0.0,0.0,23,@CNN
23,0.0,Sun Nov 05 16:28:45 +0000 2017,1.0,0.0,0.0,24,@CNN
24,0.34,Sun Nov 05 15:56:54 +0000 2017,0.854,0.0,0.146,25,@CNN
25,0.6369,Sun Nov 05 15:44:19 +0000 2017,0.792,0.0,0.208,26,@CNN
26,-0.3182,Sun Nov 05 15:43:25 +0000 2017,0.741,0.164,0.095,27,@CNN
27,-0.4588,Sun Nov 05 15:41:28 +0000 2017,0.833,0.123,0.044,28,@CNN
28,-0.8714,Sun Nov 05 15:09:32 +0000 2017,0.544,0.456,0.0,29,@CNN
29,-0.8402,Sun Nov 05 14:50:00 +0000 2017,0.667,0.333,0.0,30,@CNN
30,0.0,Sun Nov 05 14:34:48 +0000 2017,1.0,0.0,0.0,31,@CNN
31,0.5256,Sun Nov 05 14:34:01 +0000 2017,0.606,0.133,0.261,32,@CNN
32,0.0,Sun Nov 05 14:32:17 +0000 2017,1.0,0.0,0.0,33,@CNN
33,0.0,Sun Nov 05 14:23:55 +0000 2017,1.0,0.0,0.0,34,@CNN
34,0.4404,Sun Nov 05 14:20:01 +0000 2017,0.868,0.0,0.132,35,@CNN
35,0.4927,Sun Nov 05 14:18:17 +0000 2017,0.849,0.0,0.151,36,@CNN
36,0.0,Sun Nov 05 14:13:02 +0000 2017,1.0,0.0,0.0,37,@CNN
37,0.4404,Sun Nov 05 14:09:18 +0000 2017,0.854,0.0,0.146,38,@CNN
38,-0.4939,Sun Nov 05 14:06:33 +0000 2017,0.868,0.132,0.0,39,@CNN
39,0.0,Sun Nov 05 14:01:04 +0000 2017,1.0,0.0,0.0,40,@CNN
40,0.0,Sun Nov 05 13:57:17 +0000 2017,1.0,0.0,0.0,41,@CNN
41,0.0,Sun Nov 05 13:46:44 +0000 2017,1.0,0.0,0.0,42,@CNN
42,0.6115,Sun Nov 05 13:31:03 +0000 2017,0.818,0.0,0.182,43,@CNN
43,0.0,Sun Nov 05 13:01:07 +0000 2017,1.0,0.0,0.0,44,@CNN
44,-0.6597,Sun Nov 05 12:31:04 +0000 2017,0.747,0.253,0.0,45,@CNN
45,-0.5423,Sun Nov 05 12:01:05 +0000 2017,0.811,0.189,0.0,46,@CNN
46,0.0,Sun Nov 05 11:31:06 +0000 2017,1.0,0.0,0.0,47,@CNN
47,0.0,Sun Nov 05 11:01:05 +0000 2017,1.0,0.0,0.0,48,@CNN
48,0.0258,Sun Nov 05 10:31:01 +0000 2017,0.936,0.0,0.064,49,@CNN
49,0.0,Sun Nov 05 10:01:04 +0000 2017,1.0,0.0,0.0,50,@CNN
50,-0.743,Sun Nov 05 09:31:05 +0000 2017,0.645,0.272,0.082,51,@CNN
51,0.0,Sun Nov 05 09:01:04 +0000 2017,1.0,0.0,0.0,52,@CNN
52,-0.2263,Sun Nov 05 08:31:09 +0000 2017,0.808,0.192,0.0,53,@CNN
53,-0.8885,Sun Nov 05 08:01:04 +0000 2017,0.644,0.356,0.0,54,@CNN
54,0.2732,Sun Nov 05 07:31:06 +0000 2017,0.826,0.0,0.174,55,@CNN
55,0.0,Sun Nov 05 07:01:05 +0000 2017,1.0,0.0,0.0,56,@CNN
