,city_name,country_code,Temp,Humidity,Cloudiness,Wind Speed,Lat,Long
0,ambilobe,mg,71.43,69,20,4.05,-13.2,49.05
1,redcliffe,zw,52.03,95,32,10.87,-19.03,29.78
2,zheleznodorozhnyy,ru,42.35,87,90,8.95,55.75,38
3,masalli,az,63.82,60,0,8.41,39.04,48.67
4,tulsipur,np,66.79,39,0,3.04,28.13,82.3
5,sioux lookout,ca,32.86,99,90,4.7,50.1,-91.92
6,havelock,us,54.46,76,75,18.34,34.88,-76.9
7,dingle,ie,50.23,100,20,4.72,52.14,-10.27
8,barra dos coqueiros,br,77,73,40,11.41,-10.91,-37.04
9,smithers,ca,30.2,100,90,1.92,54.78,-127.17
10,alofi,nu,82.4,61,92,13.87,-19.06,-169.92
11,aklavik,ca,24.8,85,75,6.93,68.22,-135.01
12,ust-kan,ru,26.61,63,36,2.82,50.93,84.76
13,ahipara,nz,66.48,75,8,17.02,-35.17,173.17
14,bury saint edmunds,gb,40.71,86,36,6.93,52.25,0.71
15,luwingu,zm,62.88,83,48,6.17,-10.26,29.93
16,vila velha,br,77,88,0,9.17,-20.33,-40.29
17,punta arenas,cl,46.4,70,0,16.11,-53.15,-70.92
18,verkhnyaya inta,ru,9.24,76,0,4.83,65.98,60.31
19,denpasar,id,84.2,66,40,5.82,-8.65,115.22
20,cururupu,br,79.44,83,32,8.75,-1.83,-44.87
21,vostok,ru,28.54,49,0,7.63,46.49,135.88
22,natal,br,78.8,83,40,8.05,-5.79,-35.21
23,manuk mangkaw,ph,84.16,100,20,1.36,4.8,119.85
24,korem,et,40.78,90,0,1.36,12.51,39.52
25,la palma,pa,75.66,100,92,3.71,8.4,-78.15
26,bluff,nz,59.73,79,24,5.39,-46.6,168.33
27,sangmelima,cm,68.73,99,64,2.15,2.93,11.98
28,pangnirtung,ca,20.13,94,88,5.5,66.15,-65.71
29,henties bay,na,63.64,80,0,4.72,-22.12,14.28
30,nishihara,jp,71.02,64,75,11.41,26.18,127.76
31,khao yoi,th,84.2,70,75,8.63,13.24,99.82
32,klisura,bg,51.8,58,0,26.4,42.7,24.45
33,hihifo,to,78.8,69,90,11.41,-21.15,-175.22
34,voyvozh,ru,23.05,83,92,11.43,62.89,54.96
35,sabang,id,81.33,100,76,9.98,5.89,95.32
36,ust-kuyga,ru,-7.42,60,56,2.37,70.02,135.6
37,zhigansk,ru,-2.06,71,24,3.15,66.77,123.37
38,trairi,br,80.11,100,76,19.04,-3.28,-39.27
39,medak,in,75.66,69,0,6.73,18.03,78.27
